L00000021,    3.249817,    3.395996,    3.235474,    3.234558,    3.107910,    3.522339,    3.243713,    3.233337,   
L00000022,    3.251343,    3.388367,    3.237000,    3.236084,    3.109131,    3.522949,    3.243713,    3.234558,   
L00000023,    3.250427,    3.397217,    3.236084,    3.235474,    3.108521,    3.523254,    3.243713,    3.233948,   
L00000024,    3.251648,    3.388672,    3.237000,    3.236084,    3.109131,    3.523254,    3.244324,    3.234558,   
L00000025,    3.251038,    3.398438,    3.236389,    3.236084,    3.109131,    3.523560,    3.244324,    3.234558,   
L00000026,    3.250427,    3.387756,    3.236084,    3.234863,    3.108521,    3.522644,    3.243713,    3.233948,   
L00000027,    3.250122,    3.397217,    3.235779,    3.235474,    3.108215,    3.523254,    3.243713,    3.234253,   
L00000028,    3.250122,    3.386841,    3.235474,    3.234863,    3.107910,    3.522644,    3.243713,    3.233643,   
L00000029,    3.249817,    3.395691,    3.235168,    3.234253,    3.107605,    3.522339,    3.243103,    3.233337,   
L00000030,    3.251648,    3.388367,    3.237000,    3.236389,    3.108826,    3.523560,    3.244629,    3.234863,   
L00000031,    3.250427,    3.396912,    3.236084,    3.235474,    3.108215,    3.522949,    3.244019,    3.233948,   
L00000032,    3.250122,    3.386230,    3.235474,    3.234558,    3.107910,    3.522339,    3.243103,    3.233032,   
L00000033,    3.250732,    3.398132,    3.237000,    3.235779,    3.109131,    3.523560,    3.244019,    3.234558,   
L00000034,    3.250732,    3.387756,    3.236389,    3.235779,    3.108521,    3.522949,    3.244019,    3.234253,   
L00000035,    3.251343,    3.398132,    3.236694,    3.236389,    3.109436,    3.523560,    3.244019,    3.234863,   
L00000036,    3.251648,    3.388672,    3.237305,    3.236389,    3.109131,    3.523865,    3.244324,    3.234863,   
L00000037,    3.250122,    3.395996,    3.235168,    3.234558,    3.107910,    3.522034,    3.243103,    3.233643,   
L00000038,    3.252563,    3.389587,    3.238220,    3.237000,    3.109436,    3.524170,    3.244629,    3.235168,   
L00000039,    3.251038,    3.397827,    3.236694,    3.236084,    3.108826,    3.523254,    3.244324,    3.234558,   
L00000040,    3.251343,    3.388977,    3.237305,    3.236389,    3.108826,    3.523560,    3.244019,    3.234558,   
L00000041,    3.251038,    3.398132,    3.236694,    3.235779,    3.108826,    3.523560,    3.244324,    3.234253,   
L00000042,    3.250732,    3.387756,    3.236389,    3.235474,    3.108521,    3.523254,    3.244019,    3.234558,   
L00000043,    3.250122,    3.396912,    3.235779,    3.234863,    3.108215,    3.522339,    3.243713,    3.233643,   
L00000044,    3.250732,    3.387756,    3.236389,    3.235779,    3.108521,    3.523254,    3.244019,    3.234253,   
L00000045,    3.250427,    3.397217,    3.236084,    3.235168,    3.108826,    3.522949,    3.244019,    3.233948,   
L00000046,    3.251038,    3.388672,    3.237305,    3.236084,    3.109131,    3.523865,    3.244629,    3.235474,   
L00000047,    3.249817,    3.395691,    3.234863,    3.234558,    3.108521,    3.522644,    3.243408,    3.233337,   
L00000048,    3.251343,    3.387756,    3.236694,    3.236084,    3.109131,    3.523560,    3.244324,    3.234558,   
L00000049,    3.250427,    3.396912,    3.236389,    3.235779,    3.108521,    3.523560,    3.244019,    3.233948,   
L00000050,    3.251038,    3.388367,    3.237000,    3.235779,    3.108826,    3.523254,    3.244629,    3.234558,   
L00000051,    3.250122,    3.396606,    3.236084,    3.235168,    3.108215,    3.522644,    3.243713,    3.233948,   
L00000052,    3.251343,    3.388367,    3.237000,    3.236084,    3.109131,    3.523254,    3.244324,    3.234863,   
L00000053,    3.251038,    3.398132,    3.237305,    3.236084,    3.109131,    3.523560,    3.244629,    3.234863,   
L00000054,    3.250732,    3.387451,    3.236389,    3.235474,    3.108521,    3.522949,    3.243408,    3.233948,   
L00000055,    3.249512,    3.396301,    3.234863,    3.234558,    3.107910,    3.522034,    3.243103,    3.233337,   
L00000056,    3.250427,    3.387756,    3.236084,    3.235168,    3.108215,    3.522339,    3.243408,    3.233948,   
L00000057,    3.251648,    3.398132,    3.237000,    3.235779,    3.109436,    3.523560,    3.244019,    3.234558,   
L00000058,    3.250122,    3.387146,    3.235474,    3.234863,    3.108215,    3.522339,    3.243103,    3.233643,   
